product_id,name,price
1,hot,239.19
2,light,55.98
3,its,140.13
4,address,395.53
5,hold,272.93
6,myself,239.77
7,himself,346.32
8,form,73.79
9,arm,441.57
10,drug,207.12
11,team,129.53
12,discover,86.13
13,visit,72.22
14,like,46.07
15,short,137.14
16,control,58.32
17,page,127.67
18,whom,77.74
19,will,134.89
20,task,195.2
21,hotel,355.92
22,free,160.06
23,home,413.88
24,position,348.79
25,range,160.75
26,now,327.61
27,fund,404.52
28,hour,185.82
29,democratic,272.43
30,movement,409.05
31,voice,132.56
32,apply,208.92
33,indicate,460.72
34,sea,143.09
35,third,80.2
36,join,485.98
37,wait,363.54
38,as,389.08
39,it,189.95
40,various,198.39
41,serious,233.68
42,cause,482.79
43,door,221.2
44,mouth,94.82
45,nation,109.01
46,road,381.87
47,tough,25.16
48,hold,373.3
49,three,472.98
50,some,282.54
